name,weight,threshold,augment,F1_Weighted,Confusion_Matrix
01_Baseline_Full_Pipeline,10.0,0.3,True,0.2069601334493672,"[[3, 1, 3, 4, 5, 4], [0, 0, 0, 0, 0, 0], [2, 0, 2, 5, 3, 3], [0, 1, 4, 8, 1, 1], [15, 3, 14, 23, 15, 13], [3, 1, 8, 5, 7, 3]]"
02_No_Saliency_Weighting,0.0,0.3,True,0.2790727984005915,"[[3, 0, 2, 2, 5, 2], [0, 0, 0, 0, 0, 0], [2, 0, 6, 5, 4, 2], [2, 0, 11, 5, 5, 0], [13, 1, 16, 13, 26, 6], [3, 3, 8, 4, 9, 2]]"
03_Hyper_Saliency,25.0,0.3,True,0.28988341731360856,"[[0, 0, 1, 3, 3, 0], [1, 0, 0, 0, 0, 0], [1, 0, 5, 7, 9, 1], [0, 0, 4, 10, 5, 1], [4, 0, 14, 32, 26, 4], [0, 0, 4, 10, 11, 4]]"
04_Low_Threshold,10.0,0.1,True,0.2564200831847891,"[[4, 0, 2, 3, 1, 2], [0, 0, 0, 0, 0, 0], [4, 0, 2, 10, 7, 2], [0, 0, 3, 7, 2, 2], [11, 3, 13, 26, 21, 6], [5, 1, 5, 6, 8, 4]]"
05_No_Data_Augmentation,10.0,0.3,False,0.30444795735656893,"[[1, 0, 3, 3, 5, 1], [0, 0, 0, 0, 0, 0], [3, 0, 4, 3, 2, 4], [2, 0, 6, 7, 6, 7], [11, 1, 9, 23, 29, 6], [1, 0, 3, 6, 10, 4]]"
